Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
27-11,0,0,0,2826.08,198.21,295.85,20.75,0,0,0,0
16-07,2227.94,2173.6,24.3978,18893.05,18432.24,1391.44,1357.5,42.64,41.6,27.658699999999996,0
28-01,250.51,17.57,14.8898,2831.5,198.59,296.28,20.78,0,0,0,0
96-09,1074.3,687.33,19.0925,9193.83,5882.17,598.47,382.9,37.82,24.2,129.02,0
06-05,1546.97,1270.09,17.0505,13603.0,11168.31,822.63,675.39,86.99,71.42,113.45000000000002,0
01-07,1683.61,1211.23,42.7845,14626.71,10522.81,371.87,267.53,37.11,26.7,88.05,0
96-08,1022.32,651.99,18.1108,8806.22,5616.21,607.54,387.46,34.89,22.25,124.67999999999999,0
16-05,2153.58,2096.96,24.1252,18267.45,17787.2,1250.37,1217.5,50.43,49.1,24.083000000000002,0
78-05,371.85,97.24,8.6589,3214.49,840.61,675.47,176.64,56.79,14.85,0,0
85-10,430.7,189.82,12.9925,3118.31,1374.31,739.4,325.87,67.03,29.54,0,0
16-04,2129.32,2065.3,23.7609,18324.62,17773.64,1269.01,1230.85,42.15,40.88,25.665100000000002,0
01-05,1743.08,1255.82,34.1348,15145.77,10911.94,378.04,272.36,39.41,28.39,89.98,0
07-09,1806.15,1526.75,19.4243,16438.53,13895.63,843.06,712.65,96.58,81.64,101.22999999999999,0
71-08,598.74,99.03,18.2376,5429.73,898.07,258.22,42.71,21.52,3.56,0,0
01-04,1741.75,1249.46,33.9619,14964.55,10734.97,363.11,260.48,39.7,28.48,85.46,0
85-12,476.86,211.28,14.4613,3490.83,1546.67,725.87,321.61,61.46,27.23,0,0
07-08,1748.15,1473.99,18.7531,15842.28,13357.74,789.18,665.41,87.74,73.98,114.10000000000001,0
96-04,1032.28,654.17,18.7388,8788.01,5569.08,619.82,392.79,33.06,20.95,116.03000000000002,0
95-05,864.64,533.4,15.4923,7237.99,4465.14,624.15,385.04,30.6,18.88,131.48,0
84-08,393.36,166.68,10.0652,2889.54,1224.38,820.81,347.8,69.03,29.25,0,0
01-08,1575.68,1133.58,40.0417,13830.15,9949.75,378.62,272.39,37.04,26.65,81.69,0
91-03,685.53,375.22,17.9188,5323.62,2913.86,663.62,363.23,35.86,19.63,141.01999999999998,0
78-04,373.76,96.83,8.6224,3232.06,837.32,674.34,174.7,57.32,14.85,0,0
84-09,390.17,166.1,10.0302,2834.56,1206.71,801.29,341.12,68.85,29.31,0,0
16-10,2168.67,2126.15,22.487,18505.27,18142.42,1298.56,1273.1,47.8,46.86,33.1341,0
16-11,2247.18,2198.81,23.2555,19544.3,19123.58,1199.73,1173.9,50.53,49.44,35.2653,0
16-12,2288.08,2238.83,23.6788,20197.38,19762.6,1177.04,1151.7,54.9,53.72,33.384699999999995,0
77-11,377.9,94.83,8.708,3306.35,829.7,645.77,162.05,59.18,14.85,0,0
77-10,369.73,92.34,8.4793,3276.67,818.35,636.76,159.03,59.46,14.85,0,0
77-12,377.74,95.1,8.7328,3301.41,831.17,636.83,160.33,58.98,14.85,0,0
14-05,1994.74,1923.57,18.6537,17335.71,16717.17,1296.77,1250.5,107.23,103.4,10.739999999999998,0
14-04,1959.31,1883.95,18.2695,17244.07,16580.84,1340.04,1288.5,104.07,100.07,11.030000000000003,0
14-07,1998.24,1930.67,18.2207,17143.02,16563.3,1330.23,1285.25,101.67,98.23,12.780000000000003,0
14-06,2028.84,1960.23,19.0092,17415.53,16826.6,1361.03,1315.0,109.78,106.07,11.410000000000004,0
87-07,690.85,318.66,20.0921,5576.25,2572.07,978.07,451.14,46.46,21.43,173.43999999999997,0
07-07,1723.04,1455.27,18.5149,15643.0,13211.99,787.72,665.3,92.59,78.2,118.46,0
