Key,SP,SPn,PE,DJ,DJn,Gold,Goldn,Oil,Oiln,Libor,SPYTD
40-02,213.72,12.13,12.2525,2581.89,146.54,600.1,34.06,0,0,0,0
23-09,0,0,0,1261.58,87.97,297.58,20.75,0,0,0,0
52-08,231.23,25.03,10.6059,2540.82,275.04,320.47,34.69,23.74,2.57,0,0
11-04,1495.88,1363.61,16.2586,14053.16,12810.54,1684.44,1535.5,124.39,113.39,13.859999999999998,0
35-04,165.87,9.28,11.4568,1956.31,109.45,625.59,35.0,0,0,0,0
35-05,171.23,9.58,11.8272,1977.58,110.64,625.59,35.0,0,0,0,0
35-06,184.19,10.23,12.6296,2128.37,118.21,630.18,35.0,0,0,0,0
35-07,199.5,11.08,14.5789,2272.77,126.23,630.18,35.0,0,0,0,0
58-09,427.26,50.06,17.3819,4541.39,532.09,301.37,35.31,26.2,3.07,0,0
35-01,165.05,9.1,12.4658,1844.35,101.69,634.8,35.0,0,0,0,0
35-02,157.36,8.74,11.9726,1843.35,102.38,630.18,35.0,0,0,0,0
35-03,152.5,8.47,11.6027,1815.08,100.81,630.18,35.0,0,0,0,0
41-07,174.34,10.39,8.7311,2161.1,128.79,571.53,34.06,0,0,0,0
41-06,165.28,9.85,9.0367,2066.29,123.14,571.53,34.06,0,0,0,0
41-05,160.16,9.35,8.578,1982.85,115.76,583.41,34.06,0,0,0,0
41-04,160.59,9.31,8.5413,1992.95,115.54,587.5,34.06,0,0,0,0
41-03,173.02,9.96,9.3962,2131.77,122.72,591.66,34.06,0,0,0,0
35-09,208.68,11.59,15.25,2375.22,131.92,630.18,35.0,0,0,0,0
41-01,176.16,10.07,9.5,2171.53,124.13,595.85,34.06,0,0,0,0
58-02,352.25,40.84,13.0064,3794.31,439.92,304.55,35.31,26.48,3.07,0,0
01-03,1624.46,1160.33,25.5354,13830.29,9878.78,368.24,263.03,36.92,26.37,104.86,0
72-09,647.71,110.55,18.0049,5585.21,953.27,383.53,65.46,20.86,3.56,0,0
72-08,652.43,111.09,18.0928,5659.99,963.73,393.67,67.03,20.91,3.56,0,0
55-08,397.43,43.18,12.5523,4309.13,468.18,324.99,35.31,25.96,2.82,0,0
55-09,400.45,43.67,12.6948,4278.91,466.62,323.79,35.31,25.86,2.82,0,0
55-06,379.04,41.03,12.7422,4169.85,451.38,326.19,35.31,26.05,2.82,0,0
55-07,400.56,43.52,12.6512,4287.68,465.85,324.99,35.31,25.96,2.82,0,0
55-04,350.67,37.96,11.7888,3932.15,425.65,326.19,35.31,26.05,2.82,0,0
55-05,350.21,37.91,11.7733,3924.86,424.86,326.19,35.31,26.05,2.82,0,0
55-02,339.59,36.76,12.4189,3804.86,411.87,326.19,35.31,26.05,2.82,0,0
55-03,337.93,36.58,12.3581,3784.81,409.7,326.19,35.31,26.05,2.82,0,0
72-03,638.7,107.2,18.4509,5604.69,940.7,287.95,48.33,21.21,3.56,0,0
40-09,187.82,10.66,9.8704,2336.98,132.64,600.1,34.06,0,0,0,0
59-11,488.97,58.28,17.1917,5530.52,659.18,296.25,35.31,24.92,2.97,0,0
59-10,482.59,57.52,16.9676,5424.97,646.6,296.25,35.31,24.92,2.97,0,0
59-12,502.48,59.89,17.6667,5699.83,679.36,296.25,35.31,24.92,2.97,0,0
74-10,356.72,73.9,8.3127,3212.47,665.52,767.4,158.98,53.87,11.16,0,0
74-11,335.16,69.97,7.8706,2963.38,618.66,874.18,182.5,53.46,11.16,0,0
74-12,325.87,68.56,7.712,2928.99,616.24,873.22,183.72,53.04,11.16,0,0
01-06,1696.99,1224.38,33.2802,14556.33,10502.4,373.97,269.82,36.55,26.37,85.09,0
91-01,630.42,343.93,16.4245,5015.8,2736.39,702.11,383.04,40.14,21.9,163.37,0
20-06,0,0,0,1071.15,90.76,243.48,20.63,0,0,0,0
82-07,270.94,107.09,7.8975,2045.76,808.6,859.95,339.9,86.42,34.16,0,0
23-03,0,0,0,1508.87,102.77,304.65,20.75,0,0,0,0
09-02,854.17,735.09,107.156,8207.12,7062.93,1106.22,952.0,51.3,44.15,41.300000000000004,0
58-07,401.4,47.19,16.3854,4278.43,502.99,300.35,35.31,26.11,3.07,0,0
00-08,2165.73,1517.68,28.2622,16003.95,11215.1,391.67,274.47,47.22,33.09,153.60999999999999,0
76-12,455.42,107.46,10.8436,4257.71,1004.65,567.68,133.95,58.91,13.9,0,0
76-10,438.35,102.9,10.3835,4110.6,964.93,494.84,116.16,59.21,13.9,0,0
76-11,434.23,102.1,10.3027,4028.53,947.22,555.61,130.64,59.12,13.9,0,0
25-06,0,0,0,1846.59,131.01,292.47,20.75,0,0,0,0
57-12,347.31,39.99,11.8665,3783.97,435.69,303.98,35.0,26.06,3.0,0,0
57-11,362.34,41.72,12.3798,3907.12,449.87,303.98,35.0,26.66,3.07,0,0
57-10,357.88,41.06,12.184,3844.1,441.04,305.06,35.0,26.76,3.07,0,0
97-04,1234.06,801.34,19.7618,10793.86,7009.0,530.11,344.23,31.11,20.2,140.45,0
97-05,1307.2,848.28,20.9194,11297.07,7331.0,530.24,344.09,32.36,21.0,125.22000000000001,0
97-06,1362.23,885.14,21.8284,11808.44,7672.8,524.04,340.51,30.5,19.82,114.89,0
97-07,1466.77,954.31,23.482,12638.14,8222.6,497.83,323.9,31.03,20.19,138.51,0
14-10,2096.75,2018.05,19.7249,18068.75,17390.52,1209.66,1164.25,83.67,80.53,12.689999999999996,0
85-07,436.82,190.92,12.5358,3082.97,1347.45,726.71,317.62,62.53,27.33,0,0
97-02,1222.61,790.82,19.6526,10632.99,6877.74,536.51,347.03,31.38,20.3,116.43,0
97-03,1167.48,757.12,18.8151,10151.73,6583.48,542.0,351.49,31.38,20.35,115.96,0
04-06,1483.09,1140.84,20.3177,13566.12,10435.48,510.22,392.48,48.0,36.92,51.67000000000001,0
97-08,1379.79,899.47,22.1326,11692.76,7622.4,497.05,324.02,30.16,19.66,120.68,0
97-09,1449.34,947.28,23.3091,12156.31,7945.3,494.36,323.11,32.33,21.13,132.51000000000002,0
39-01,216.71,12.3,17.3239,2532.91,143.76,611.2,34.69,0,0,0,0
39-02,225.37,12.7,17.8873,2613.99,147.3,615.61,34.69,0,0,0,0
39-03,194.85,10.98,15.4648,2339.63,131.84,615.61,34.69,0,0,0,0
39-04,195.18,10.92,14.3684,2295.92,128.45,620.05,34.69,0,0,0,0
39-05,207.34,11.6,15.2632,2469.83,138.18,620.05,34.69,0,0,0,0
39-06,194.11,10.86,14.2895,2334.88,130.63,620.05,34.69,0,0,0,0
39-07,215.2,12.04,14.8642,2560.63,143.26,620.05,34.69,0,0,0,0
39-08,199.83,11.18,13.8025,2402.44,134.41,620.05,34.69,0,0,0,0
39-09,227.77,13.02,16.0741,2668.53,152.54,606.87,34.69,0,0,0,0
83-10,399.39,163.55,11.6572,2991.94,1225.2,960.46,393.31,74.26,30.41,0,0
83-11,405.52,166.4,11.8603,3109.66,1276.02,931.37,382.18,72.72,29.84,0,0
80-02,355.3,113.66,7.4336,2698.18,863.14,2076.6,664.3,115.66,37.0,0,0
12-07,1485.53,1379.32,15.9459,14010.35,13008.68,1746.89,1622.0,94.86,88.08,23.439999999999994,0
82-05,288.09,111.88,7.8956,2110.32,819.54,858.02,333.21,92.52,35.93,0,0
25-12,0,0,0,2081.88,151.08,285.94,20.75,0,0,0,0
14-11,2160.6,2067.56,20.2088,18630.51,17828.24,1235.97,1182.75,68.91,65.94,11.220000000000006,0
80-03,314.34,102.09,6.6769,2419.32,785.75,1695.36,550.62,117.0,38.0,0,0
02-11,1274.32,936.31,33.9366,12107.58,8896.09,434.25,319.07,36.57,26.87,34.22,0
02-10,1205.52,885.76,32.1044,11428.36,8397.03,430.84,316.56,36.99,27.18,41.68,0
75-01,364.42,76.98,9.1101,3331.27,703.69,835.65,176.52,52.83,11.16,0,0
18-02,0,0,0,1406.34,80.39,347.08,19.84,0,0,0,0
80-04,323.65,106.29,7.1145,2487.95,817.06,1574.02,516.92,120.28,39.5,0,0
89-09,688.87,349.15,14.7383,5312.93,2692.82,714.05,361.91,39.76,20.15,187.03,0
25-08,0,0,0,1967.48,141.18,289.17,20.75,0,0,0,0
94-05,763.27,456.5,18.1151,6283.99,3758.37,637.93,381.54,30.6,18.3,112.14,0
89-08,695.87,351.45,14.8354,5419.79,2737.27,723.0,365.15,37.28,18.83,190.70999999999998,0
80-06,340.78,114.24,7.6466,2589.01,867.92,1798.93,603.06,117.83,39.5,0,0
52-10,226.52,24.52,10.2167,2487.15,269.23,320.47,34.69,23.74,2.57,0,0
52-11,237.05,25.66,10.6917,2620.45,283.66,320.47,34.69,23.74,2.57,0,0
52-12,245.45,26.57,11.0708,2696.57,291.9,320.47,34.69,23.74,2.57,0,0
80-07,362.94,121.67,8.3108,2790.06,935.32,1919.44,643.46,117.83,39.5,0,0
12-09,1535.75,1440.67,16.6551,14323.98,13437.13,1893.22,1776.0,98.26,92.18,20.0,0
93-08,789.44,463.56,22.7124,6218.08,3651.25,643.68,377.97,31.06,18.24,77.14000000000003,0
85-05,435.78,189.55,12.1429,3024.13,1315.41,727.63,316.5,63.5,27.62,0,0
75-06,438.06,95.19,11.9585,4045.11,878.99,756.38,164.36,51.36,11.16,0,0
17-07,2490.06,2470.3,0,22066.25,21891.12,1283.59,1273.4,50.57,50.17,36.5626,192.30803588000003
93-01,759.09,438.78,22.1159,5726.3,3310.0,569.26,329.05,35.07,20.27,77.72000000000001,0
93-02,764.39,443.38,22.3478,5811.28,3370.81,567.73,329.31,35.39,20.53,73.84,0
43-11,156.22,11.02,11.7234,1836.78,129.57,482.83,34.06,0,0,0,0
93-04,754.05,440.19,22.7724,5871.39,3427.55,585.66,341.89,35.19,20.54,71.32000000000001,0
93-05,770.28,450.19,23.2897,6035.43,3527.43,629.2,367.74,34.29,20.04,68.69999999999999,0
93-06,769.51,450.53,23.3073,6005.46,3516.08,635.26,371.93,32.14,18.82,84.44000000000001,0
93-07,765.41,448.13,21.9564,6045.41,3539.47,670.89,392.79,30.64,17.94,82.6,0
94-04,754.37,450.91,17.8933,6159.47,3681.69,631.21,377.29,28.31,16.92,97.55000000000001,0
89-03,594.75,294.87,11.8137,4626.23,2293.62,786.67,390.02,40.88,20.27,228.84,0
84-11,383.1,163.58,9.8305,2784.5,1188.94,798.81,341.08,65.81,28.1,0,0
89-02,585.81,288.86,11.5729,4580.01,2258.39,785.95,387.55,36.93,18.21,203.52999999999997,0
12-08,1506.45,1406.58,16.261,14020.29,13090.84,1765.54,1648.5,103.32,96.47,22.96,0
95-10,933.31,581.5,17.1231,7632.55,4755.48,615.12,383.25,28.36,17.67,129.21,0
85-04,414.87,179.83,11.5202,2902.34,1258.06,749.91,325.06,66.46,28.81,0,0
18-09,0,0,0,1330.41,84.68,311.71,19.84,0,0,0,0
20-03,0,0,0,1287.28,102.81,258.31,20.63,0,0,0,0
18-08,0,0,0,1320.76,82.46,317.78,19.84,0,0,0,0
89-07,686.28,346.08,14.6087,5276.09,2660.66,743.45,374.91,36.35,18.33,181.37,0
89-06,632.14,317.98,12.6082,4850.84,2440.06,731.39,367.9,40.34,20.29,202.08999999999997,0
05-10,1494.28,1207.01,17.2603,12924.81,10440.07,581.74,469.9,74.03,59.8,96.03999999999999,0
05-11,1559.35,1249.48,17.8676,13485.73,10805.87,594.88,476.67,71.55,57.33,105.24,0
05-12,1564.11,1248.29,17.8506,13429.03,10717.5,639.16,510.1,76.51,61.06,96.71999999999997,0
60-11,459.7,55.54,16.9847,4943.19,597.22,292.26,35.31,24.58,2.97,0,0
60-10,441.91,53.39,16.3272,4803.64,580.36,292.26,35.31,24.58,2.97,0,0
60-12,480.98,58.11,17.7706,5097.72,615.89,292.26,35.31,24.58,2.97,0,0
07-05,1815.32,1530.62,18.0243,16162.38,13627.64,790.97,666.92,75.93,64.02,112.01000000000002,0
07-04,1768.47,1482.37,17.4561,15584.05,13062.91,810.49,679.37,78.48,65.78,100.35,0
80-10,370.81,127.47,8.6012,2689.34,924.49,1920.67,660.25,104.72,36.0,0,0
07-06,1779.97,1503.35,17.7031,15875.81,13408.62,776.1,655.49,83.44,70.47,114.43,0
07-01,1753.21,1438.24,17.2969,15385.84,12621.69,769.4,631.17,70.91,58.17,118.17000000000002,0
85-03,418.77,180.66,11.0226,2936.4,1266.78,705.76,304.47,65.46,28.24,0,0
07-03,1706.45,1420.86,17.0879,14837.57,12354.35,786.53,654.9,79.19,65.94,114.41999999999997,0
07-02,1705.07,1406.82,16.9191,14869.58,12268.63,805.68,664.75,74.88,61.78,107.64,0
17-12,2624.57,2624.57,0,24127.79,24127.79,1278.0,1278.0,57.69,57.69,0,17.22953507
17-11,2647.58,2647.58,0,24272.35,24272.35,1276.7,1276.7,57.4,57.4,34.057100000000005,332.77604819
97-12,1483.79,970.43,24.4318,12091.79,7908.3,441.25,288.59,26.99,17.65,126.39,0
58-05,376.31,44.09,15.0478,3949.14,462.7,301.37,35.31,26.2,3.07,0,0
70-06,462.28,72.72,13.1739,4345.2,683.53,232.41,36.56,21.3,3.35,0,0
06-11,1714.37,1400.63,17.1835,14959.64,12221.93,768.46,627.83,77.08,62.97,116.69999999999997,0
06-10,1683.84,1377.94,16.9052,14762.65,12080.73,715.82,585.78,71.76,58.72,117.91,0
92-09,729.48,417.8,23.1596,5712.39,3271.7,603.61,345.71,38.12,21.83,76.61999999999999,0
15-12,2131.83,2043.94,23.6212,18174.31,17425.03,1115.23,1069.25,38.73,37.13,22.739999999999995,0
85-02,421.61,181.18,11.0543,2987.89,1284.01,694.19,298.32,63.46,27.27,0,0
18-03,0,0,0,1346.27,76.41,349.56,19.84,0,0,0,0
03-01,1162.04,855.7,28.2223,10937.07,8053.81,484.62,356.86,45.51,33.51,32.6,0
11-07,1411.17,1292.28,14.8572,13260.42,12143.24,1761.94,1613.5,104.48,95.68,15.63,0
03-03,1135.71,848.18,27.9743,10701.46,7992.13,456.0,340.55,41.7,31.14,27.959999999999994,0
03-02,1133.03,841.15,27.7424,10629.28,7891.08,483.53,358.97,49.52,36.76,28.229999999999993,0
03-05,1295.06,963.59,27.8897,11894.75,8850.26,478.03,355.68,39.73,29.56,24.9,0
03-04,1230.51,916.92,26.5389,11380.28,8480.09,440.42,328.18,35.01,26.09,27.239999999999995,0
03-07,1328.01,990.31,25.669,12382.53,9233.8,470.68,350.99,40.98,30.56,27.649999999999995,0
03-06,1308.75,974.5,28.2055,12067.45,8985.44,478.58,356.35,40.49,30.15,22.990000000000002,0
03-09,1326.63,995.97,25.8157,12354.38,9275.06,504.76,378.95,38.88,29.19,29.76,0
03-08,1346.7,1008.01,26.1278,12579.54,9415.82,480.65,359.77,42.43,31.76,28.149999999999995,0
11-08,1327.37,1218.89,14.0135,12647.13,11613.53,1987.43,1825.0,96.71,88.81,17.129999999999995,0
11-09,1229.85,1131.42,13.0078,11862.84,10913.38,1760.94,1620.0,85.8,78.93,18.319999999999997,0
92-08,724.97,414.03,22.9507,5703.71,3257.4,600.02,342.67,37.58,21.46,74.79,0
08-12,1059.51,903.25,60.7023,10294.71,8776.39,1020.22,869.75,52.32,44.6,50.08,0
08-11,1040.53,896.24,60.2312,10250.52,8829.04,945.63,814.5,64.1,55.21,56.49999999999999,0
08-10,1103.41,968.75,65.1042,10621.19,9325.01,832.32,730.75,77.57,68.1,87.13,0
30-03,352.47,24.15,16.6552,4175.63,286.1,301.97,20.69,0,0,0,0
30-02,337.79,23.28,16.0552,3933.81,271.11,300.21,20.69,0,0,0,0
30-01,328.75,22.79,15.7172,3853.49,267.14,298.45,20.69,0,0,0,0
30-07,315.16,21.21,18.7699,3476.86,233.99,307.43,20.69,0,0,0,0
30-06,300.39,20.46,15.8605,3323.12,226.34,303.77,20.69,0,0,0,0
30-05,357.43,24.49,18.9845,4014.65,275.07,301.97,20.69,0,0,0,0
30-04,361.3,24.9,19.3023,4051.63,279.23,300.21,20.69,0,0,0,0
18-01,0,0,0,1406.0,79.8,349.56,19.84,0,0,0,0
30-09,276.23,18.59,16.4513,3044.61,204.9,307.43,20.69,0,0,0,0
30-08,319.46,21.37,18.9115,3594.04,240.42,309.29,20.69,0,0,0,0
18-05,0,0,0,1328.22,78.08,337.5,19.84,0,0,0,0
18-04,0,0,0,1346.43,77.51,344.64,19.84,0,0,0,0
18-07,0,0,0,1326.89,81.23,324.09,19.84,0,0,0,0
18-06,0,0,0,1385.69,82.58,332.92,19.84,0,0,0,0
99-01,1920.74,1279.64,33.3413,14047.6,9358.83,430.89,287.07,19.23,12.81,101.42000000000003,0
68-11,755.12,108.37,18.8142,6864.04,985.08,280.88,40.31,21.39,3.07,0,0
68-10,722.63,103.41,17.9531,6655.3,952.39,281.69,40.31,21.45,3.07,0,0
27-08,0,0,0,2721.78,189.79,297.58,20.75,0,0,0,0
68-12,721.62,103.86,18.0313,6557.18,943.75,280.07,40.31,21.33,3.07,0,0
73-11,515.69,95.96,11.7598,4418.77,822.25,511.71,95.22,23.16,4.31,0,0
73-10,585.74,108.29,13.2708,5174.14,956.58,541.33,100.08,23.31,4.31,0,0
95-03,815.66,500.71,15.3828,6772.88,4157.69,623.06,382.48,31.24,19.18,156.28,0
73-12,520.82,97.55,11.9547,4542.74,850.86,569.94,106.75,23.01,4.31,0,0
79-05,341.83,99.08,7.0873,2837.04,822.33,891.03,258.27,62.45,18.1,0,0
12-04,1498.56,1397.91,15.8998,14165.01,13213.63,1770.14,1651.25,112.44,104.89,19.950000000000006,0
26-01,0,0,0,2168.28,157.35,285.52,20.72,0,0,0,0
77-06,408.35,100.48,9.643,3723.84,916.3,572.01,140.75,56.49,13.9,0,0
77-07,399.75,98.85,9.2297,3599.44,890.07,580.03,143.43,56.21,13.9,0,0
77-04,404.69,98.44,9.4472,3810.49,926.9,613.24,149.17,57.14,13.9,0,0
77-05,393.23,96.12,9.2246,3676.42,898.66,599.33,146.5,56.86,13.9,0,0
77-02,416.65,99.82,9.9028,3908.62,936.42,569.83,136.52,58.02,13.9,0,0
77-03,408.05,98.42,9.7639,3810.71,919.13,615.18,148.38,57.63,13.9,0,0
77-01,430.16,102.03,10.122,4023.62,954.37,557.36,132.2,58.6,13.9,0,0
14-12,2161.85,2058.9,20.1241,18714.22,17823.07,1266.3,1206.0,56.12,53.45,12.66,0
58-01,359.66,41.7,13.2803,3881.42,450.02,304.55,35.31,26.48,3.07,0,0
77-09,387.76,96.53,9.0131,3402.84,847.11,601.55,149.75,59.65,14.85,0,0
98-01,1495.91,980.28,24.7921,12065.32,7906.5,441.24,289.15,26.26,17.21,119.81999999999998,0
22-08,0,0,0,1497.49,100.78,309.66,20.84,0,0,0,0
85-09,414.78,182.08,11.9554,3026.62,1328.63,735.27,322.77,64.44,28.29,0,0
22-04,0,0,0,1357.81,91.93,307.81,20.84,0,0,0,0
22-05,0,0,0,1418.36,96.03,307.81,20.84,0,0,0,0
22-06,0,0,0,1372.58,92.93,307.81,20.84,0,0,0,0
85-08,430.83,188.63,12.3854,3046.88,1334.01,753.65,329.97,63.4,27.76,0,0
33-11,184.63,9.88,22.4545,1833.94,98.14,494.64,26.47,0,0,0,0
33-10,167.44,8.96,20.3636,1647.45,88.16,494.64,26.47,0,0,0,0
22-02,0,0,0,1247.29,85.46,304.16,20.84,0,0,0,0
33-12,188.74,10.1,22.9545,1866.83,99.9,494.64,26.47,0,0,0,0
15-02,2211.83,2104.5,21.204,19057.47,18132.7,1275.91,1214.0,52.38,49.84,13.19,0
66-12,602.23,80.33,14.4739,5890.32,785.69,264.72,35.31,22.27,2.97,0,0
66-11,603.13,80.45,14.4955,5934.55,791.59,264.72,35.31,22.27,2.97,0,0
66-10,601.26,80.2,14.4505,6050.6,807.07,264.72,35.31,22.27,2.97,0,0
15-06,2133.26,2063.11,21.7375,18218.57,17619.51,1210.81,1171.0,61.5,59.48,16.969999999999995,0
15-07,2175.37,2103.84,23.2058,18291.32,17689.86,1135.75,1098.4,48.71,47.11,18.07,0
15-04,2175.19,2085.51,21.9736,18607.66,17840.52,1231.0,1180.25,62.18,59.62,13.949999999999996,0
15-05,2185.36,2107.39,22.2041,18677.08,18010.68,1235.48,1191.4,62.48,60.25,13.950000000000001,0
05-03,1506.43,1180.59,19.5721,13402.8,10503.76,554.19,434.32,70.58,55.31,77.36999999999999,0
15-08,2041.21,1972.18,21.7536,17106.51,16528.03,1174.73,1135.0,50.92,49.2,16.73,0
15-09,1991.07,1920.03,21.1784,16887.23,16284.7,1155.22,1114.0,46.73,45.06,18.740000000000002,0
78-12,350.13,96.11,7.7948,2932.65,805.01,756.65,207.7,54.1,14.85,0,0
05-02,1547.83,1203.6,19.9536,13845.37,10766.23,544.43,423.35,66.55,51.75,67.57,0
43-05,170.69,12.11,11.0091,2002.34,142.06,480.08,34.06,0,0,0,0
43-04,164.3,11.59,10.5364,1920.56,135.48,482.83,34.06,0,0,0,0
43-07,165.58,11.68,10.8148,1927.23,135.95,482.83,34.06,0,0,0,0
43-06,174.07,12.35,11.2273,2020.94,143.38,480.08,34.06,0,0,0,0
43-01,152.81,10.47,9.785,1832.84,125.58,497.11,34.06,0,0,0,0
75-12,400.8,90.19,11.3304,3788.11,852.41,619.09,139.31,49.6,11.16,0,0
43-03,166.07,11.58,10.8224,1958.55,136.57,488.45,34.06,0,0,0,0
43-02,160.55,11.0,10.2804,1898.96,130.11,497.11,34.06,0,0,0,0
88-11,561.09,273.7,11.5242,4334.75,2114.51,861.98,420.48,31.61,15.42,200.89999999999998,0
79-08,365.35,109.32,7.4723,2966.46,887.63,1007.78,301.55,88.56,26.5,0,0
78-08,385.99,103.29,8.9274,3276.68,876.82,771.2,206.37,55.49,14.85,0,0
98-06,1715.5,1133.84,29.0952,13544.41,8952.02,442.28,292.32,21.64,14.3,128.34000000000003,0
43-09,171.25,12.08,11.1852,1986.34,140.12,482.83,34.06,0,0,0,0
43-08,168.24,11.8,10.9259,1947.93,136.62,485.63,34.06,0,0,0,0
79-09,361.41,109.32,7.4723,2904.59,878.58,1181.6,357.41,94.22,28.5,0,0
23-08,0,0,0,1348.16,93.46,299.32,20.75,0,0,0,0
13-02,1608.59,1514.68,17.2712,14925.87,14054.49,1686.99,1588.5,97.74,92.03,15.239999999999998,0
97-01,1218.55,786.16,19.5368,10560.29,6813.09,548.5,353.87,37.43,24.15,130.42,0
85-01,419.97,179.63,10.9597,3008.47,1286.77,706.66,302.25,59.95,25.64,0,0
22-03,0,0,0,1315.27,89.05,307.81,20.84,0,0,0,0
98-08,1445.49,957.28,25.1321,11384.0,7539.07,429.01,284.11,20.07,13.29,114.55999999999999,0
01-10,1470.97,1059.78,42.9235,12596.29,9075.14,392.89,283.06,29.43,21.2,57.56000000000001,0
01-11,1583.84,1139.45,46.1503,13693.67,9851.56,383.86,276.16,27.05,19.46,52.269999999999996,0
88-10,572.45,278.97,11.7461,4409.03,2148.65,835.45,407.14,27.78,13.54,185.07999999999998,0
81-02,368.34,131.27,9.0034,2734.67,974.58,1400.36,499.06,106.63,38.0,0,0
45-10,226.91,16.65,17.3438,2542.98,186.6,476.98,35.0,0,0,0,0
45-11,234.27,17.19,17.9063,2609.22,191.46,476.98,35.0,0,0,0,0
45-12,235.28,17.36,18.0833,2614.51,192.91,474.36,35.0,0,0,0,0
69-09,619.15,93.12,15.8098,5406.24,813.09,278.46,41.88,22.27,3.35,0,0
69-08,636.77,95.51,16.2156,5578.41,836.72,279.21,41.88,22.33,3.35,0,0
13-03,1663.34,1569.19,17.8927,15453.25,14578.54,1694.15,1598.25,103.07,97.24,14.710000000000006,0
13-12,1955.56,1848.36,18.4467,17538.11,16576.66,1274.36,1204.5,103.86,98.17,11.57,0
13-11,1910.55,1805.81,18.0221,17019.42,16086.41,1325.67,1253.0,97.92,92.55,12.33,0
13-10,1854.91,1756.54,17.5303,16416.31,15545.75,1398.14,1324.0,101.68,96.29,14.209999999999994,0
42-11,136.4,9.29,9.0194,1681.09,114.5,500.07,34.06,0,0,0,0
42-10,139.13,9.42,9.1456,1684.81,114.07,503.07,34.06,0,0,0,0
69-03,693.62,101.51,17.4416,6392.13,935.48,286.17,41.88,22.21,3.25,0,0
42-12,142.59,9.77,9.4854,1742.64,119.4,497.11,34.06,0,0,0,0
69-05,701.04,103.46,17.7158,6352.91,937.56,283.78,41.88,22.7,3.35,0,0
69-04,704.57,103.69,17.7551,6456.47,950.18,284.57,41.88,22.76,3.35,0,0
69-07,615.54,91.83,15.5908,5466.1,815.47,280.72,41.88,22.46,3.35,0,0
69-06,658.47,97.71,16.7312,5884.43,873.19,282.23,41.88,22.58,3.35,0,0
08-04,1590.66,1385.59,26.9727,14717.51,12820.13,1044.34,909.7,130.53,113.7,62.22999999999999,0
14-08,2077.49,2003.37,18.9069,17731.09,17098.45,1333.32,1285.75,101.48,97.86,11.180000000000003,0
13-06,1696.23,1606.28,17.6611,15744.54,14909.6,1258.75,1192.0,101.76,96.36,13.689999999999996,0
82-09,303.46,120.42,8.8805,2258.55,896.25,1101.84,437.24,89.79,35.63,0,0
13-04,1695.02,1597.57,17.5654,15745.03,14839.8,1558.61,1469.0,98.91,93.22,15.070000000000004,0
49-10,166.94,16.04,6.9138,1972.73,189.54,331.81,31.88,26.75,2.57,0,0
49-11,166.45,16.06,6.9224,1985.22,191.55,330.4,31.88,26.64,2.57,0,0
49-12,175.18,16.76,7.2241,2091.76,200.13,333.21,31.88,26.86,2.57,0,0
04-10,1460.22,1130.2,19.3032,12955.49,10027.47,543.23,420.46,66.9,51.78,51.849999999999994,0
34-09,165.05,9.1,18.9583,1680.03,92.63,634.8,35.0,0,0,0,0
34-08,168.43,9.15,19.0625,1709.37,92.86,644.28,35.0,0,0,0,0
34-07,159.78,8.68,18.0833,1620.82,88.05,644.28,35.0,0,0,0,0
34-06,180.58,9.81,20.8723,1762.01,95.72,644.28,35.0,0,0,0,0
34-05,178.23,9.61,20.4468,1743.32,94.0,649.11,35.0,0,0,0,0
34-04,193.99,10.46,22.2553,1863.69,100.49,649.11,35.0,0,0,0,0
34-03,199.37,10.75,23.8889,1888.91,101.85,649.11,35.0,0,0,0,0
34-02,199.55,10.76,23.9111,1918.77,103.46,649.11,35.0,0,0,0,0
34-01,208.73,11.17,24.8222,2003.62,107.22,654.05,35.0,0,0,0,0
23-10,0,0,0,1262.26,88.53,295.85,20.75,0,0,0,0
69-11,617.08,93.81,16.2301,5343.31,812.3,275.49,41.88,22.04,3.35,0,0
65-09,702.23,89.96,18.0643,7264.11,930.58,275.63,35.31,22.79,2.92,0,0
65-08,680.45,87.17,17.504,6971.54,893.1,275.63,35.31,22.79,2.92,0,0
46-08,203.31,16.65,18.7079,2310.2,189.19,427.39,35.0,18.56,1.52,0,0
46-09,180.88,14.96,16.809,2084.73,172.42,423.19,35.0,18.38,1.52,0,0
46-06,243.11,18.43,21.9405,2712.33,205.62,461.69,35.0,16.75,1.27,0,0
46-07,223.75,17.96,20.1798,2511.03,201.56,436.03,35.0,15.82,1.27,0,0
46-04,251.5,18.76,22.3333,2771.96,206.77,469.21,35.0,17.03,1.27,0,0
46-05,255.73,19.18,22.8333,2830.33,212.28,466.66,35.0,16.93,1.27,0,0
46-02,235.49,17.28,19.2,2590.55,190.09,476.98,35.0,15.94,1.17,0,0
46-03,243.7,18.08,20.0889,2692.43,199.75,471.77,35.0,15.77,1.17,0,0
65-03,679.03,86.16,18.4103,7006.6,889.05,278.28,35.31,23.01,2.92,0,0
46-01,251.68,18.57,20.6333,2773.89,204.67,474.36,35.0,15.86,1.17,0,0
63-10,592.75,74.01,18.4104,6048.64,755.23,282.8,35.31,23.79,2.97,0,0
63-11,586.5,73.23,18.2164,6010.91,750.52,282.8,35.31,23.79,2.97,0,0
63-12,598.88,75.02,18.6617,6090.63,762.95,281.88,35.31,23.71,2.97,0,0
